exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,ADA-PERP,-0.000002721706858545587556607142787,727956,1646895727000000,1646899300000000
Mango Markets,ADA-PERP,-0.000001312868590359110493923988513,727956,1646895758000000,1646899330000000
Mango Markets,ADA-PERP,-2.830516657506380681708828919E-7,727956,1646896404000000,1646899977000000
Mango Markets,ADA-PERP,9.204240571011776062861607346E-8,727956,1646896466000000,1646900038000000
Mango Markets,ADA-PERP,7.310920029268339573947668442E-8,727956,1646896527000000,1646900100000000
Mango Markets,ADA-PERP,-3.418011357775117828555880333E-7,727956,1646896589000000,1646900161000000
Mango Markets,ADA-PERP,-3.428449035294171785350272765E-7,727956,1646896650000000,1646900223000000
Mango Markets,ADA-PERP,-2.464844936615703272514846525E-7,727956,1646896712000000,1646900285000000
Mango Markets,ADA-PERP,-3.689364536128026896233807484E-7,727956,1646896773000000,1646900346000000
Mango Markets,ADA-PERP,-4.228440654395273631790745737E-7,727956,1646896835000000,1646900408000000
Mango Markets,ADA-PERP,-6.216171189300489630658098419E-7,727956,1646896897000000,1646900470000000
Mango Markets,ADA-PERP,-8.403695892136364978984526561E-7,727956,1646896958000000,1646900500000000
Mango Markets,ADA-PERP,-0.000001493160144854139334038541492,727956,1646897020000000,1646900593000000
Mango Markets,ADA-PERP,-0.000001643735535504507481005037849,727956,1646897081000000,1646900624000000
Mango Markets,ADA-PERP,-0.000001530236228718427608561358188,727956,1646897143000000,1646900685000000
Mango Markets,ADA-PERP,-0.000001660751552876897608261107810,727956,1646897174000000,1646900747000000
Mango Markets,ADA-PERP,-0.000001675376148502002947410214410,727956,1646897235000000,1646900809000000
Mango Markets,ADA-PERP,-0.000001767776438511195476086464194,727956,1646897297000000,1646900870000000
Mango Markets,ADA-PERP,-0.000001721091939072674472445627833,727956,1646897358000000,1646900932000000
Mango Markets,ADA-PERP,-0.000001848172619285954748535616591,727956,1646897420000000,1646900994000000
Mango Markets,ADA-PERP,-0.000001997888018469848480826142527,727956,1646897482000000,1646901055000000
Mango Markets,ADA-PERP,-0.000001983924757367806020850922349,727956,1646897543000000,1646901117000000
Mango Markets,ADA-PERP,-0.000001977002042503787456455311862,727956,1646897605000000,1646901178000000
Mango Markets,ADA-PERP,-0.000002137935046751449817643331088,727956,1646897666000000,1646901240000000
Mango Markets,ADA-PERP,-0.000002114093726669148051313669671,727956,1646897727000000,1646901301000000
Mango Markets,ADA-PERP,-0.000002070903211244628160911918083,727956,1646897789000000,1646901363000000
Mango Markets,ADA-PERP,-0.000002050041466967791245708838319,727956,1646897851000000,1646901424000000
Mango Markets,ADA-PERP,-0.000002149338202993062181753790036,727956,1646897913000000,1646901486000000
Mango Markets,ADA-PERP,-0.000002028136733464022811275778814,727956,1646897974000000,1646901548000000
Mango Markets,ADA-PERP,-0.000001926081866322356656390926182,727956,1646898036000000,1646901609000000
Mango Markets,ADA-PERP,-0.000001800586196680679621568652781,727956,1646898098000000,1646901640000000
Mango Markets,ADA-PERP,-0.000001834739187482673357517990294,727956,1646898160000000,1646901702000000
Mango Markets,ADA-PERP,-0.000001486293164606813099673859020,727956,1646898221000000,1646901763000000
Mango Markets,ADA-PERP,-0.000001559989216081076296377721678,727956,1646898283000000,1646901825000000
Mango Markets,ADA-PERP,-0.000001740891421691607567843332805,727956,1646898313000000,1646901886000000
Mango Markets,ADA-PERP,-0.000001794248382249310905450031312,727956,1646898375000000,1646901948000000
Mango Markets,ADA-PERP,-0.000001894669776503651932558940071,727956,1646898436000000,1646902009000000
Mango Markets,ADA-PERP,-0.000001890794659481320747899606758,727956,1646898498000000,1646902071000000
Mango Markets,ADA-PERP,-0.000001918112209748004168176019273,727956,1646898559000000,1646902133000000
Mango Markets,ADA-PERP,-0.000002187008739745084239881550623,727956,1646898621000000,1646902194000000
Mango Markets,ADA-PERP,-0.000002180019141604059514443358668,727956,1646898683000000,1646902256000000
Mango Markets,ADA-PERP,-0.000002427467743948006415468435799,727956,1646898744000000,1646902317000000
Mango Markets,ADA-PERP,-0.000002463206497962393829492289186,727956,1646898806000000,1646902379000000
Mango Markets,ADA-PERP,-0.000002417330578230144500989706971,727956,1646898868000000,1646902440000000
Mango Markets,ADA-PERP,-0.000002245408508282124552089416543,727956,1646898929000000,1646902502000000
Mango Markets,ADA-PERP,-0.000002204253653379087821264789925,727956,1646898991000000,1646902564000000
Mango Markets,ADA-PERP,-0.000002308774941797455193835847130,727956,1646899053000000,1646902625000000
Mango Markets,ADA-PERP,-0.000002419923885191933343243300734,727956,1646899114000000,1646902687000000
Mango Markets,ADA-PERP,-0.000002348936825576405386575260371,727956,1646899176000000,1646902749000000
Mango Markets,ADA-PERP,-0.000002395335257778381742021943625,727956,1646899238000000,1646902780000000
Mango Markets,ADA-PERP,-0.000002828478363186739549064357650,727956,1646899300000000,1646902872000000
Mango Markets,ADA-PERP,-0.000002897951851958418010517711217,727956,1646899361000000,1646902903000000
Mango Markets,ADA-PERP,-0.000003000459431160096635013951340,727956,1646899392000000,1646902965000000
Mango Markets,ADA-PERP,-0.000003006289937468169456755644504,727956,1646899453000000,1646903027000000
Mango Markets,ADA-PERP,-0.000003085736194560759495100893542,727956,1646899515000000,1646903088000000
Mango Markets,ADA-PERP,-0.000002999237675954868294089286531,727956,1646899576000000,1646903150000000
Mango Markets,ADA-PERP,-0.000002650858255707209793765471840,727956,1646899638000000,1646903212000000
Mango Markets,ADA-PERP,-0.000002496536631032391805467207674,727956,1646899700000000,1646903273000000
Mango Markets,ADA-PERP,-0.000002530975642165606499075341779,727956,1646899761000000,1646903335000000
Mango Markets,ADA-PERP,-0.000002438969638189575890862138864,727956,1646899823000000,1646903396000000
Mango Markets,ADA-PERP,-0.000002465041220748689521469696676,727956,1646899884000000,1646903458000000
Mango Markets,ADA-PERP,-0.000002291699206043557747261031282,727956,1646899946000000,1646903520000000
Mango Markets,ADA-PERP,-0.000002235228553254504013418008733,727956,1646900007000000,1646903581000000
Mango Markets,ADA-PERP,-0.000002324969264317122179824334847,727956,1646900069000000,1646903643000000
Mango Markets,ADA-PERP,-0.000002352710463552796315250007945,727956,1646900130000000,1646903704000000
Mango Markets,ADA-PERP,-0.000002388824192399825323586311112,727956,1646900192000000,1646903766000000
Mango Markets,ADA-PERP,-0.000002201941729708181977338855570,727956,1646900254000000,1646903828000000
Mango Markets,ADA-PERP,-0.000002165190404868843748842656813,727956,1646900315000000,1646903889000000
Mango Markets,ADA-PERP,-0.000002120120655034337542325035106,727956,1646900377000000,1646903920000000
Mango Markets,ADA-PERP,-0.000002098183934867321966773743191,727956,1646900439000000,1646904012000000
Mango Markets,ADA-PERP,-0.000001944781004904567675873218742,727956,1646900500000000,1646904043000000
Mango Markets,ADA-PERP,-0.000001878598831388098754417186371,728456,1646900562000000,1646904104000000
Mango Markets,ADA-PERP,-0.000001547311508623500536863536895,728456,1646900593000000,1646904166000000
Mango Markets,ADA-PERP,-0.000001596052699150234175537294387,728456,1646900655000000,1646904228000000
Mango Markets,ADA-PERP,-0.000001730083950108127609961555229,728456,1646900716000000,1646904289000000
Mango Markets,ADA-PERP,-0.000001405423580093953003943351696,728456,1646900778000000,1646904351000000
Mango Markets,ADA-PERP,-0.000001664404686522156474440884540,728456,1646900840000000,1646904412000000
Mango Markets,ADA-PERP,-0.000001672256600213578827284289418,728456,1646900901000000,1646904474000000
Mango Markets,ADA-PERP,-0.000001623411362735594015043054404,728456,1646900963000000,1646904536000000
Mango Markets,ADA-PERP,-0.000001904412866374078368979621806,728456,1646901024000000,1646904597000000
Mango Markets,ADA-PERP,-0.000002024289518779691885586035776,728456,1646901086000000,1646904659000000
Mango Markets,ADA-PERP,-0.000002038468571175360190080406540,728456,1646901147000000,1646904720000000
