exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,AVAX-PERP,-0.00007942844879346198742582461145,9584.37,1646895727000000,1646899300000000
Mango Markets,AVAX-PERP,-0.00007615487214762420688210539815,9584.37,1646895758000000,1646899330000000
Mango Markets,AVAX-PERP,-0.00003834634610791470073946066029,9593.36,1646896404000000,1646899977000000
Mango Markets,AVAX-PERP,-0.00002792958900078813905318409120,9593.36,1646896466000000,1646900038000000
Mango Markets,AVAX-PERP,-0.00002782175778172837042495339629,9593.36,1646896527000000,1646900100000000
Mango Markets,AVAX-PERP,-0.00001227195466346531529299181697,9593.36,1646896589000000,1646900161000000
Mango Markets,AVAX-PERP,-0.000006288549835272985070693598869,9593.36,1646896650000000,1646900223000000
Mango Markets,AVAX-PERP,0.000002327829846908976781207899424,9593.36,1646896712000000,1646900285000000
Mango Markets,AVAX-PERP,0.000008617859209812635677516890830,9593.36,1646896773000000,1646900346000000
Mango Markets,AVAX-PERP,0.00001600798494071767364541007775,9593.36,1646896835000000,1646900408000000
Mango Markets,AVAX-PERP,0.00001512352522794974930173110173,9593.36,1646896897000000,1646900439000000
Mango Markets,AVAX-PERP,0.00001363671397681200688751069953,9593.36,1646896958000000,1646900500000000
Mango Markets,AVAX-PERP,0.00001214626425905147519332505251,9593.36,1646897020000000,1646900593000000
Mango Markets,AVAX-PERP,0.00001030396101073021412553199885,9593.36,1646897081000000,1646900624000000
Mango Markets,AVAX-PERP,0.000009369067332189427790791068343,9593.36,1646897143000000,1646900685000000
Mango Markets,AVAX-PERP,0.000008978903149409624334414033320,9593.36,1646897174000000,1646900747000000
Mango Markets,AVAX-PERP,0.000009577874826210621207497837767,9593.36,1646897235000000,1646900809000000
Mango Markets,AVAX-PERP,0.000009154847739424227203689989671,9593.36,1646897297000000,1646900870000000
Mango Markets,AVAX-PERP,0.000009202695629123687402909160451,9593.36,1646897358000000,1646900932000000
Mango Markets,AVAX-PERP,0.000009143345288193141479529060021,9593.36,1646897420000000,1646900994000000
Mango Markets,AVAX-PERP,0.000009834824959615864296744074092,9593.36,1646897482000000,1646901055000000
Mango Markets,AVAX-PERP,0.000008530309022745577541370895889,9589.75,1646897543000000,1646901117000000
Mango Markets,AVAX-PERP,0.000007472843717108140994968169861,9589.75,1646897605000000,1646901178000000
Mango Markets,AVAX-PERP,0.000007178415479414017468721637081,9589.75,1646897666000000,1646901240000000
Mango Markets,AVAX-PERP,0.000007156225128109670428805688975,9589.75,1646897727000000,1646901301000000
Mango Markets,AVAX-PERP,0.000006691557791860700179328004854,9589.75,1646897789000000,1646901363000000
Mango Markets,AVAX-PERP,0.000006196877937048438807070079849,9589.75,1646897851000000,1646901424000000
Mango Markets,AVAX-PERP,0.000005779875988813342075184661308,9589.75,1646897913000000,1646901486000000
Mango Markets,AVAX-PERP,0.000006412504618933694060107463847,9589.75,1646897974000000,1646901548000000
Mango Markets,AVAX-PERP,0.000006541035959716075487580851534,9589.75,1646898036000000,1646901609000000
Mango Markets,AVAX-PERP,0.000006436049664476320406022364765,9589.75,1646898098000000,1646901640000000
Mango Markets,AVAX-PERP,0.000006356408513015304388455766440,9589.75,1646898160000000,1646901702000000
Mango Markets,AVAX-PERP,0.000007142158215138231123882789124,9589.75,1646898221000000,1646901763000000
Mango Markets,AVAX-PERP,0.000006889393349439244729634103126,9589.75,1646898283000000,1646901825000000
Mango Markets,AVAX-PERP,0.000006387296766132251779060251818,9589.75,1646898313000000,1646901886000000
Mango Markets,AVAX-PERP,0.000004670459276256242162223863898,9589.75,1646898375000000,1646901948000000
Mango Markets,AVAX-PERP,0.000003205347680261517432850165074,9589.75,1646898436000000,1646902009000000
Mango Markets,AVAX-PERP,0.000002239710721190988041015453208,9589.75,1646898498000000,1646902071000000
Mango Markets,AVAX-PERP,0.000001774873064915928650316840972,9589.75,1646898559000000,1646902133000000
Mango Markets,AVAX-PERP,0.000001227787394916925992982439426,9589.75,1646898621000000,1646902194000000
Mango Markets,AVAX-PERP,0.000002085907368338937568919955884,9596.37,1646898683000000,1646902256000000
Mango Markets,AVAX-PERP,0.000001533432214948853786186709745,9596.37,1646898744000000,1646902317000000
Mango Markets,AVAX-PERP,0.000001265403374388665107982681995,9596.37,1646898806000000,1646902379000000
Mango Markets,AVAX-PERP,0.000001553494891995361393626927803,9596.37,1646898868000000,1646902440000000
Mango Markets,AVAX-PERP,0.000002656384900671182065108386208,9596.37,1646898929000000,1646902502000000
Mango Markets,AVAX-PERP,0.000003075537666537512892140534092,9596.37,1646898991000000,1646902564000000
Mango Markets,AVAX-PERP,0.000002737452075972346878895928745,9596.37,1646899053000000,1646902625000000
Mango Markets,AVAX-PERP,0.000003060106555252043250732792475,9596.37,1646899114000000,1646902687000000
Mango Markets,AVAX-PERP,0.000004710624224850647013197309226,9596.37,1646899176000000,1646902749000000
Mango Markets,AVAX-PERP,0.000005505775309968903221571032591,9596.37,1646899238000000,1646902780000000
Mango Markets,AVAX-PERP,0.000006317364456983726983546295075,9496.37,1646899300000000,1646902872000000
Mango Markets,AVAX-PERP,0.000005681357390874639255039287514,9496.37,1646899361000000,1646902903000000
Mango Markets,AVAX-PERP,0.000005637131054069761701939873300,9496.37,1646899392000000,1646902965000000
Mango Markets,AVAX-PERP,0.000006036330201841669998682248370,9496.37,1646899453000000,1646903027000000
Mango Markets,AVAX-PERP,0.000006302932154714145072121640392,9502.99,1646899515000000,1646903088000000
Mango Markets,AVAX-PERP,0.000004916964832891391927751771265,9509.62,1646899576000000,1646903150000000
Mango Markets,AVAX-PERP,0.000005872759328516948048514513456,9509.62,1646899638000000,1646903212000000
Mango Markets,AVAX-PERP,0.000006598043494787942814766255479,9509.62,1646899700000000,1646903273000000
Mango Markets,AVAX-PERP,0.000005622330901968380511518003169,9509.62,1646899761000000,1646903335000000
Mango Markets,AVAX-PERP,0.000005418674158549385830073903012,9509.62,1646899823000000,1646903396000000
Mango Markets,AVAX-PERP,0.000005453756134280925265668686962,9509.62,1646899884000000,1646903458000000
Mango Markets,AVAX-PERP,0.000005510313481502400378478713589,9509.62,1646899946000000,1646903520000000
Mango Markets,AVAX-PERP,0.000005506061883470724782267524752,9509.62,1646900007000000,1646903581000000
Mango Markets,AVAX-PERP,0.000005364513568649797449819918157,9509.62,1646900069000000,1646903643000000
Mango Markets,AVAX-PERP,0.000005132621589409726195586552115,9509.62,1646900130000000,1646903704000000
Mango Markets,AVAX-PERP,0.000005331738843244254417496084081,9509.62,1646900192000000,1646903766000000
Mango Markets,AVAX-PERP,0.000005010838055389978569784425340,9509.62,1646900254000000,1646903828000000
Mango Markets,AVAX-PERP,0.000005009310250057291027853974107,9509.62,1646900315000000,1646903889000000
Mango Markets,AVAX-PERP,0.000004967826700538693955939275207,9509.62,1646900377000000,1646903920000000
Mango Markets,AVAX-PERP,0.000005155090999618150664403054395,9509.62,1646900439000000,1646904012000000
