exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,BNB-PERP,0.000005358107384268965776389820460,1424.896,1646895727000000,1646899300000000
Mango Markets,BNB-PERP,0.000005240079242674239523204985169,1424.896,1646895758000000,1646899330000000
Mango Markets,BNB-PERP,0.000006039746141124245123693325108,1428.6,1646896404000000,1646899977000000
Mango Markets,BNB-PERP,0.000006001546606221345392278397005,1428.6,1646896466000000,1646900038000000
Mango Markets,BNB-PERP,0.000006000222838484402301737138766,1428.6,1646896527000000,1646900100000000
Mango Markets,BNB-PERP,0.000005459307205439045617206300393,1428.6,1646896589000000,1646900161000000
Mango Markets,BNB-PERP,0.000005120700514139027047930273652,1428.6,1646896650000000,1646900223000000
Mango Markets,BNB-PERP,0.000004518605528001374055147236989,1428.6,1646896712000000,1646900285000000
Mango Markets,BNB-PERP,0.000004389312076401688650842152515,1428.6,1646896773000000,1646900346000000
Mango Markets,BNB-PERP,0.000004696594395594623000300213847,1428.6,1646896835000000,1646900408000000
Mango Markets,BNB-PERP,0.000004261368153107173913935648537,1428.6,1646896897000000,1646900470000000
Mango Markets,BNB-PERP,0.000003800640015300333960562735226,1428.6,1646896958000000,1646900500000000
Mango Markets,BNB-PERP,0.000003613256816812075114310867521,1428.6,1646897020000000,1646900593000000
Mango Markets,BNB-PERP,0.000003587228782022813403029755336,1428.6,1646897081000000,1646900624000000
Mango Markets,BNB-PERP,0.000003433015557308261421231639408,1428.6,1646897143000000,1646900685000000
Mango Markets,BNB-PERP,0.000003579167912511568133881742601,1428.6,1646897174000000,1646900747000000
Mango Markets,BNB-PERP,0.000003558164783568840157628622826,1428.6,1646897235000000,1646900809000000
Mango Markets,BNB-PERP,0.000003972650962995287530755055205,1428.6,1646897297000000,1646900870000000
Mango Markets,BNB-PERP,0.000004032266220837607877529156703,1428.6,1646897358000000,1646900932000000
Mango Markets,BNB-PERP,0.000003920373585788393612130232673,1428.6,1646897420000000,1646900994000000
Mango Markets,BNB-PERP,0.000003735962427650441807493612601,1428.6,1646897482000000,1646901055000000
Mango Markets,BNB-PERP,0.000003907639463829204512082214956,1428.6,1646897543000000,1646901117000000
Mango Markets,BNB-PERP,0.000004028606749742604889715837408,1428.6,1646897605000000,1646901178000000
Mango Markets,BNB-PERP,0.000004337071156936740894805359329,1428.6,1646897666000000,1646901240000000
Mango Markets,BNB-PERP,0.000004325498905588485516095726653,1428.6,1646897727000000,1646901301000000
Mango Markets,BNB-PERP,0.000004307302061318883389833441291,1428.6,1646897789000000,1646901363000000
Mango Markets,BNB-PERP,0.000004062698541409715145904216977,1428.6,1646897851000000,1646901424000000
Mango Markets,BNB-PERP,0.000004112086333715843593724610484,1429.892,1646897913000000,1646901486000000
Mango Markets,BNB-PERP,0.000003954756786255288639616131543,1429.892,1646897974000000,1646901548000000
Mango Markets,BNB-PERP,0.000003973315652380692956613217648,1429.892,1646898036000000,1646901609000000
Mango Markets,BNB-PERP,0.000004120493327464934352578602858,1429.892,1646898098000000,1646901640000000
Mango Markets,BNB-PERP,0.000004188723729345317138575271438,1429.892,1646898160000000,1646901702000000
Mango Markets,BNB-PERP,0.000004448868783962289749909318069,1429.892,1646898221000000,1646901763000000
Mango Markets,BNB-PERP,0.000004694439445101065083791137467,1429.892,1646898283000000,1646901825000000
Mango Markets,BNB-PERP,0.000004844359501526420103939056110,1429.892,1646898313000000,1646901886000000
Mango Markets,BNB-PERP,0.000005174849048277960214059175522,1429.892,1646898375000000,1646901948000000
Mango Markets,BNB-PERP,0.000005419470744749624015739836861,1429.892,1646898436000000,1646902009000000
Mango Markets,BNB-PERP,0.000005761632897761238200759327639,1429.892,1646898498000000,1646902071000000
Mango Markets,BNB-PERP,0.000006082354920242439504036264716,1429.892,1646898559000000,1646902133000000
Mango Markets,BNB-PERP,0.000006376491806485502102873922015,1429.892,1646898621000000,1646902194000000
Mango Markets,BNB-PERP,0.000006513337461290770637865994281,1426.995,1646898683000000,1646902256000000
Mango Markets,BNB-PERP,0.000006483777691150511217056560845,1426.995,1646898744000000,1646902317000000
Mango Markets,BNB-PERP,0.000006556798359175694506489382755,1426.995,1646898806000000,1646902379000000
Mango Markets,BNB-PERP,0.000006354723093171675298162980108,1426.995,1646898868000000,1646902440000000
Mango Markets,BNB-PERP,0.000006486703194535033545993952295,1426.995,1646898929000000,1646902502000000
Mango Markets,BNB-PERP,0.000006628521182131605589453183281,1426.995,1646898991000000,1646902564000000
Mango Markets,BNB-PERP,0.000006768644054085751711225745035,1426.995,1646899053000000,1646902625000000
Mango Markets,BNB-PERP,0.000006733038632162470705611565291,1426.995,1646899114000000,1646902687000000
Mango Markets,BNB-PERP,0.000006822901631198292160413923699,1426.995,1646899176000000,1646902749000000
Mango Markets,BNB-PERP,0.000007125527248504590044647508924,1426.995,1646899238000000,1646902780000000
Mango Markets,BNB-PERP,0.000007152705390170169355070184080,1428.287,1646899300000000,1646902872000000
Mango Markets,BNB-PERP,0.000007507612923887899881212593504,1428.287,1646899361000000,1646902903000000
Mango Markets,BNB-PERP,0.000007842095843307306282335049817,1428.287,1646899392000000,1646902965000000
Mango Markets,BNB-PERP,0.000008159844327719372485442209282,1428.287,1646899453000000,1646903027000000
Mango Markets,BNB-PERP,0.000008625451019525406490732331040,1429.581,1646899515000000,1646903088000000
Mango Markets,BNB-PERP,0.000009082259488098455380930711607,1430.926,1646899576000000,1646903150000000
Mango Markets,BNB-PERP,0.000009275078157524588807668467557,1430.926,1646899638000000,1646903212000000
Mango Markets,BNB-PERP,0.000009607081285391024934683647686,1440.914,1646899700000000,1646903273000000
Mango Markets,BNB-PERP,0.000009691247354907588018123409753,1440.914,1646899761000000,1646903335000000
Mango Markets,BNB-PERP,0.000009904185108979864998769112477,1440.914,1646899823000000,1646903396000000
Mango Markets,BNB-PERP,0.00001027333894442523416289654387,1440.914,1646899884000000,1646903458000000
Mango Markets,BNB-PERP,0.00001035853521034433432870895370,1443.812,1646899946000000,1646903520000000
Mango Markets,BNB-PERP,0.00001052171237690612098630252304,1443.812,1646900007000000,1646903581000000
Mango Markets,BNB-PERP,0.00001070042669775841498580157099,1443.812,1646900069000000,1646903643000000
Mango Markets,BNB-PERP,0.00001087714217444632412206683254,1443.812,1646900130000000,1646903704000000
Mango Markets,BNB-PERP,0.00001063328873727409158176934074,1443.812,1646900192000000,1646903766000000
Mango Markets,BNB-PERP,0.00001091705137612688237465358205,1443.812,1646900254000000,1646903828000000
Mango Markets,BNB-PERP,0.00001102983655067788372954502958,1443.812,1646900315000000,1646903889000000
Mango Markets,BNB-PERP,0.00001103496382563151250916458696,1443.812,1646900377000000,1646903920000000
Mango Markets,BNB-PERP,0.00001134667889245935657620272914,1443.812,1646900439000000,1646904012000000
Mango Markets,BNB-PERP,0.00001159469325708505601321884038,1448.017,1646900500000000,1646904043000000
Mango Markets,BNB-PERP,0.00001183469214580881752772607321,1448.017,1646900562000000,1646904104000000
Mango Markets,BNB-PERP,0.00001180143271415237427745634566,1448.017,1646900593000000,1646904166000000
Mango Markets,BNB-PERP,0.00001222182143436194841093811408,1448.017,1646900655000000,1646904228000000
Mango Markets,BNB-PERP,0.00001206418977557695303949791560,1448.017,1646900716000000,1646904289000000
Mango Markets,BNB-PERP,0.00001212875740023058711664868018,1448.017,1646900778000000,1646904351000000
Mango Markets,BNB-PERP,0.00001249132549814151991328855087,1449.326,1646900840000000,1646904412000000
Mango Markets,BNB-PERP,0.00001281388567693390784211628696,1449.326,1646900901000000,1646904474000000
Mango Markets,BNB-PERP,0.00001301941070562049856588546891,1450.636,1646900963000000,1646904536000000
Mango Markets,BNB-PERP,0.00001303039750055925065914027449,1450.636,1646901024000000,1646904597000000
Mango Markets,BNB-PERP,0.00001314398502983148997082171929,1450.636,1646901086000000,1646904659000000
Mango Markets,BNB-PERP,0.00001305673610775886194151577554,1450.636,1646901147000000,1646904720000000
Mango Markets,BNB-PERP,0.00001317745663107786219853744679,1456.429,1646901209000000,1646904782000000
Mango Markets,BNB-PERP,0.00001335192663022980030711592199,1474.016,1646901270000000,1646904843000000
Mango Markets,BNB-PERP,0.00001334389111905943538393459320,1474.016,1646901332000000,1646904905000000
Mango Markets,BNB-PERP,0.00001335087578532702681730024912,1474.016,1646901394000000,1646904967000000
Mango Markets,BNB-PERP,0.00001376986699740583852951640945,1475.333,1646901455000000,1646905028000000
Mango Markets,BNB-PERP,0.00001330936582664892601243746921,1497.541,1646901517000000,1646905090000000
Mango Markets,BNB-PERP,0.00001317841314928992024483681409,1497.541,1646901579000000,1646905151000000
Mango Markets,BNB-PERP,0.00001282908011096945158292592657,1497.541,1646901640000000,1646905182000000
Mango Markets,BNB-PERP,0.00001263839365446240343813511630,1494.661,1646901702000000,1646905243000000
Mango Markets,BNB-PERP,0.00001228349922480571894760805015,1494.661,1646901732000000,1646905305000000
Mango Markets,BNB-PERP,0.00001212583655490693188183371549,1470.896,1646901794000000,1646905367000000
Mango Markets,BNB-PERP,0.00001221554765438480419376304190,1494.221,1646901856000000,1646905428000000
Mango Markets,BNB-PERP,0.00001237746564953376392281427501,1497.251,1646901917000000,1646905490000000
Mango Markets,BNB-PERP,0.00001219316307984607609698370378,1515.993,1646901979000000,1646905552000000
Mango Markets,BNB-PERP,0.00001241825044077229736665816507,1515.993,1646902040000000,1646905613000000
Mango Markets,BNB-PERP,0.00001251608149058133760697855649,1515.993,1646902102000000,1646905675000000
Mango Markets,BNB-PERP,0.00001279938590627125372217882610,1537.993,1646902163000000,1646905736000000
Mango Markets,BNB-PERP,0.00001314038172386250316451739888,1557.106,1646902225000000,1646905798000000
Mango Markets,BNB-PERP,0.00001345240383359122439588511675,1557.106,1646902286000000,1646905860000000
Mango Markets,BNB-PERP,0.00001365924208239384414066185263,1557.106,1646902348000000,1646905921000000
Mango Markets,BNB-PERP,0.00001400748897734747480035944671,1557.106,1646902410000000,1646905983000000
Mango Markets,BNB-PERP,0.00001469597103029261131903978302,1557.106,1646902471000000,1646906044000000
Mango Markets,BNB-PERP,0.00001484743585991118770073192677,1557.106,1646902533000000,1646906106000000
Mango Markets,BNB-PERP,0.00001494400876137386973835150221,1554.214,1646902595000000,1646906168000000
Mango Markets,BNB-PERP,0.00001508702741095527313964933659,1554.214,1646902656000000,1646906199000000
Mango Markets,BNB-PERP,0.00001521476683584732095101748085,1554.214,1646902718000000,1646906261000000
Mango Markets,BNB-PERP,0.00001526773939619242577213689114,1554.214,1646902780000000,1646906322000000
Mango Markets,BNB-PERP,0.00001570290388665221927244010938,1554.214,1646902811000000,1646906384000000
Mango Markets,BNB-PERP,0.00001607049792233319960045688326,1573.326,1646902872000000,1646906445000000
Mango Markets,BNB-PERP,0.00001616105058195085837501772132,1573.326,1646902934000000,1646906507000000
Mango Markets,BNB-PERP,0.00001606694823241164718555745934,1573.326,1646902996000000,1646906568000000
Mango Markets,BNB-PERP,0.00001604113683045640954556498706,1573.326,1646903057000000,1646906630000000
Mango Markets,BNB-PERP,0.00001611405642644676225528923018,1573.326,1646903119000000,1646906691000000
Mango Markets,BNB-PERP,0.00001581085871361756041985689207,1570.439,1646903181000000,1646906753000000
Mango Markets,BNB-PERP,0.00001630138046777552137467804705,1577.545,1646903242000000,1646906815000000
Mango Markets,BNB-PERP,0.00001633031754827333837361159902,1577.545,1646903304000000,1646906877000000
Mango Markets,BNB-PERP,0.00001634238303032116156269049011,1577.545,1646903366000000,1646906938000000
Mango Markets,BNB-PERP,0.00001627921545643605414583180558,1577.545,1646903427000000,1646907000000000
Mango Markets,BNB-PERP,0.00001662415829938343977748409297,1577.545,1646903489000000,1646907061000000
Mango Markets,BNB-PERP,0.00001674152931074996768103411704,1577.545,1646903550000000,1646907123000000
Mango Markets,BNB-PERP,0.00001674046811245494173580810633,1577.545,1646903612000000,1646907184000000
Mango Markets,BNB-PERP,0.00001689656310696047051670314578,1574.664,1646903674000000,1646907246000000
Mango Markets,BNB-PERP,0.00001676602928813286269420163291,1574.664,1646903735000000,1646907307000000
Mango Markets,BNB-PERP,0.00001671763749726288553766556876,1574.664,1646903797000000,1646907369000000
Mango Markets,BNB-PERP,0.00001677318688351689701288577555,1574.664,1646903859000000,1646907400000000
Mango Markets,BNB-PERP,0.00001667273937645581607378482082,1574.664,1646903920000000,1646907461000000
