exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,BTC-PERP,0.000005823786083005708900956761236,121.2779,1646895727000000,1646899300000000
Mango Markets,BTC-PERP,0.000006249929919543070530522540101,121.2779,1646895758000000,1646899330000000
Mango Markets,BTC-PERP,0.000009568153200151326756826357786,121.0135,1646896404000000,1646899977000000
Mango Markets,BTC-PERP,0.00001002632267315146884716707491,121.0102,1646896466000000,1646900038000000
Mango Markets,BTC-PERP,0.00001060789251439010468683593458,121.0102,1646896527000000,1646900100000000
Mango Markets,BTC-PERP,0.00001099346411237943063664167303,121.0102,1646896589000000,1646900161000000
Mango Markets,BTC-PERP,0.00001122278998512283857061853068,121.0102,1646896650000000,1646900223000000
Mango Markets,BTC-PERP,0.00001150080932859470508481441147,121.0102,1646896712000000,1646900285000000
Mango Markets,BTC-PERP,0.00001186802179868237499580330203,121.1265,1646896773000000,1646900346000000
Mango Markets,BTC-PERP,0.00001201385765523583963906837695,121.1265,1646896835000000,1646900408000000
Mango Markets,BTC-PERP,0.00001194976907333521201492268166,121.1265,1646896897000000,1646900470000000
Mango Markets,BTC-PERP,0.00001122251041347400907121901187,121.1265,1646896958000000,1646900500000000
Mango Markets,BTC-PERP,0.00001066149547457064258006777094,121.1265,1646897020000000,1646900593000000
Mango Markets,BTC-PERP,0.00001052121745574195702436757246,121.1265,1646897081000000,1646900624000000
Mango Markets,BTC-PERP,0.00001044591228323127290282792709,121.1265,1646897143000000,1646900685000000
Mango Markets,BTC-PERP,0.00001028018534492458755709124119,121.1265,1646897174000000,1646900747000000
Mango Markets,BTC-PERP,0.00001019833538190037902444982123,121.1265,1646897235000000,1646900809000000
Mango Markets,BTC-PERP,0.000009879431872275866052464486127,121.1265,1646897297000000,1646900870000000
Mango Markets,BTC-PERP,0.000009747993677598555329302748550,121.1265,1646897358000000,1646900932000000
Mango Markets,BTC-PERP,0.000009365455706011222317946109150,121.1265,1646897420000000,1646900994000000
Mango Markets,BTC-PERP,0.000009142181643743203521887317124,121.1265,1646897482000000,1646901055000000
Mango Markets,BTC-PERP,0.000008842589317227430368031178664,121.1265,1646897543000000,1646901117000000
Mango Markets,BTC-PERP,0.000008707997555064377957781899351,121.1265,1646897605000000,1646901178000000
Mango Markets,BTC-PERP,0.000008500533349742999062449449526,121.1265,1646897666000000,1646901240000000
Mango Markets,BTC-PERP,0.000008068343394478695183943566986,121.1265,1646897727000000,1646901301000000
Mango Markets,BTC-PERP,0.000007764977618517285877188684078,121.1265,1646897789000000,1646901363000000
