exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,ETH-PERP,-0.000006928534263464476938511669595,480.036,1646895727000000,1646899300000000
Mango Markets,ETH-PERP,-0.000004991992804506975414764597769,480.036,1646895758000000,1646899330000000
Mango Markets,ETH-PERP,-0.000007159519375207028616633540775,480.246,1646896404000000,1646899977000000
Mango Markets,ETH-PERP,-0.000007267000220545915017352968765,480.246,1646896466000000,1646900038000000
Mango Markets,ETH-PERP,-0.000007331665441156331224509254203,480.246,1646896527000000,1646900100000000
Mango Markets,ETH-PERP,-0.000007795075665125561992480878592,480.246,1646896589000000,1646900161000000
Mango Markets,ETH-PERP,-0.000008039617526642635410839966276,480.246,1646896650000000,1646900223000000
Mango Markets,ETH-PERP,-0.000009300828798627673582795855346,480.246,1646896712000000,1646900285000000
Mango Markets,ETH-PERP,-0.000009497960527533012813490472888,480.246,1646896773000000,1646900346000000
Mango Markets,ETH-PERP,-0.000009731356328274046044568584378,480.246,1646896835000000,1646900408000000
Mango Markets,ETH-PERP,-0.000009885855079361986884757213285,480.246,1646896897000000,1646900439000000
Mango Markets,ETH-PERP,-0.00001037932008851815831567197116,480.246,1646896958000000,1646900500000000
Mango Markets,ETH-PERP,-0.00001117162294944799940505540702,480.246,1646897020000000,1646900593000000
Mango Markets,ETH-PERP,-0.00001144139058410826010531136378,480.246,1646897081000000,1646900624000000
Mango Markets,ETH-PERP,-0.00001205124463001624048414600769,480.246,1646897143000000,1646900685000000
Mango Markets,ETH-PERP,-0.00001226063118449300430962124009,480.246,1646897174000000,1646900747000000
Mango Markets,ETH-PERP,-0.00001258122259964706825978662362,480.246,1646897235000000,1646900809000000
Mango Markets,ETH-PERP,-0.00001290154590672034218662364109,480.246,1646897297000000,1646900870000000
Mango Markets,ETH-PERP,-0.00001300655366835329733305300779,480.246,1646897358000000,1646900932000000
Mango Markets,ETH-PERP,-0.00001304106596480792981254309779,480.246,1646897420000000,1646900994000000
Mango Markets,ETH-PERP,-0.00001330385697186324750101101632,480.246,1646897482000000,1646901055000000
Mango Markets,ETH-PERP,-0.00001360897802020490841726721753,480.246,1646897543000000,1646901117000000
Mango Markets,ETH-PERP,-0.00001372131288031864184495990500,480.246,1646897605000000,1646901178000000
Mango Markets,ETH-PERP,-0.00001389623149090511756166889562,480.246,1646897666000000,1646901240000000
Mango Markets,ETH-PERP,-0.00001404941171051303674760466273,480.246,1646897727000000,1646901301000000
Mango Markets,ETH-PERP,-0.00001398397425207805856109642447,480.246,1646897789000000,1646901363000000
Mango Markets,ETH-PERP,-0.00001397084508733652983884082810,480.279,1646897851000000,1646901424000000
Mango Markets,ETH-PERP,-0.00001381968981702302930678533981,480.296,1646897913000000,1646901486000000
Mango Markets,ETH-PERP,-0.00001341918289820146013725356049,480.296,1646897974000000,1646901548000000
Mango Markets,ETH-PERP,-0.00001352727389329780024903855999,480.296,1646898036000000,1646901609000000
Mango Markets,ETH-PERP,-0.00001331089975337762925942691509,480.296,1646898098000000,1646901640000000
Mango Markets,ETH-PERP,-0.00001330081698392310038583002672,480.296,1646898160000000,1646901702000000
Mango Markets,ETH-PERP,-0.00001329871618178196518035079949,480.296,1646898221000000,1646901763000000
Mango Markets,ETH-PERP,-0.00001333101351119525431148151344,480.296,1646898283000000,1646901825000000
Mango Markets,ETH-PERP,-0.00001354389823882269283269063250,480.296,1646898313000000,1646901886000000
Mango Markets,ETH-PERP,-0.00001378875030977828482219253344,480.296,1646898375000000,1646901948000000
Mango Markets,ETH-PERP,-0.00001392375514030907294713113485,480.296,1646898436000000,1646902009000000
Mango Markets,ETH-PERP,-0.00001396585058102348974284754391,480.296,1646898498000000,1646902071000000
Mango Markets,ETH-PERP,-0.00001416930724088021046218843265,480.296,1646898559000000,1646902133000000
Mango Markets,ETH-PERP,-0.00001383744512403543477540538075,480.296,1646898621000000,1646902194000000
