exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,FTT-PERP,0.000004734767261336293062383735260,6088,1646895727000000,1646899300000000
Mango Markets,FTT-PERP,0.000006445888223278091639440844197,6088,1646895758000000,1646899330000000
Mango Markets,FTT-PERP,0.00001309173696102858609906781016,6088,1646896404000000,1646899977000000
Mango Markets,FTT-PERP,0.00001365617199016842412783725454,6088,1646896466000000,1646900038000000
Mango Markets,FTT-PERP,0.00001417115052946351867612155351,6088,1646896527000000,1646900100000000
Mango Markets,FTT-PERP,0.00001434727254882175485577980061,6088,1646896589000000,1646900161000000
Mango Markets,FTT-PERP,0.00001420631169680317954661017227,6088,1646896650000000,1646900223000000
Mango Markets,FTT-PERP,0.00001469796246893197545854127732,6088,1646896712000000,1646900285000000
Mango Markets,FTT-PERP,0.00001349642498159528690533102084,6088,1646896773000000,1646900346000000
Mango Markets,FTT-PERP,0.00001288283877114813533852520603,6088,1646896835000000,1646900408000000
Mango Markets,FTT-PERP,0.00001074337844664432072316217348,6088,1646896897000000,1646900470000000
Mango Markets,FTT-PERP,0.00001059949460167705010543299549,6088,1646896958000000,1646900500000000
Mango Markets,FTT-PERP,0.000009821987662506074891629066537,6088,1646897020000000,1646900593000000
Mango Markets,FTT-PERP,0.000008325481597632964560283826876,6088,1646897081000000,1646900624000000
Mango Markets,FTT-PERP,0.000008121019789697284664727104556,6088,1646897143000000,1646900685000000
Mango Markets,FTT-PERP,0.000007978292484887131905751117179,6088,1646897174000000,1646900747000000
Mango Markets,FTT-PERP,0.000007518847976479086533072215416,6088,1646897235000000,1646900809000000
Mango Markets,FTT-PERP,0.000006432126358022882027639188328,6088,1646897297000000,1646900870000000
Mango Markets,FTT-PERP,0.000006231144295393502546040200143,6088,1646897358000000,1646900932000000
Mango Markets,FTT-PERP,0.000005881834360165495465053902001,6088,1646897420000000,1646900994000000
Mango Markets,FTT-PERP,0.000005357480106676291915991494948,6088,1646897482000000,1646901055000000
Mango Markets,FTT-PERP,0.000005261152002789110821401455756,6088,1646897543000000,1646901117000000
Mango Markets,FTT-PERP,0.000005720931030484256515394325720,6088,1646897605000000,1646901178000000
Mango Markets,FTT-PERP,0.000005237944422129595448213350195,6088,1646897666000000,1646901240000000
Mango Markets,FTT-PERP,0.000003927787743938450928043883469,6088,1646897727000000,1646901301000000
Mango Markets,FTT-PERP,0.000002583737599576375841120292614,6088,1646897789000000,1646901363000000
Mango Markets,FTT-PERP,0.000003051573563071744573025669309,6088,1646897851000000,1646901424000000
Mango Markets,FTT-PERP,0.000002846234154239251674302154692,6088,1646897913000000,1646901486000000
Mango Markets,FTT-PERP,0.000002213143334038081636661566836,6088,1646897974000000,1646901548000000
Mango Markets,FTT-PERP,1.689186451575820668946378705E-7,6088,1646898036000000,1646901609000000
Mango Markets,FTT-PERP,-0.000004666213742352918698154451332,6088,1646898098000000,1646901640000000
Mango Markets,FTT-PERP,-0.000006670956097851537997124758493,6088,1646898160000000,1646901702000000
Mango Markets,FTT-PERP,-0.00001046403437682157817783877362,6088,1646898221000000,1646901763000000
Mango Markets,FTT-PERP,-0.00001237758250615901064710734054,6088,1646898283000000,1646901825000000
Mango Markets,FTT-PERP,-0.00001573217093687594612187030718,6088,1646898313000000,1646901886000000
Mango Markets,FTT-PERP,-0.00001682290980306263836631245018,6088,1646898375000000,1646901948000000
Mango Markets,FTT-PERP,-0.00001857291420230316411743273946,6088,1646898436000000,1646902009000000
Mango Markets,FTT-PERP,-0.00002062318700082100963860489378,6088,1646898498000000,1646902071000000
Mango Markets,FTT-PERP,-0.00002196725856943984762027877606,6088,1646898559000000,1646902133000000
Mango Markets,FTT-PERP,-0.00002378140472715170078928437347,6088,1646898621000000,1646902194000000
Mango Markets,FTT-PERP,-0.00002243426352490810677562936265,6088,1646898683000000,1646902256000000
Mango Markets,FTT-PERP,-0.00002264665842378516404542807136,6088,1646898744000000,1646902317000000
Mango Markets,FTT-PERP,-0.00002289782259775672870989821377,6088,1646898806000000,1646902379000000
Mango Markets,FTT-PERP,-0.00002404323788197071492053729552,6088,1646898868000000,1646902440000000
Mango Markets,FTT-PERP,-0.00002286074196930139834265742430,6088,1646898929000000,1646902502000000
Mango Markets,FTT-PERP,-0.00002364132647427721400690444471,6088,1646898991000000,1646902564000000
Mango Markets,FTT-PERP,-0.00002395952521987950512363550037,6088,1646899053000000,1646902625000000
Mango Markets,FTT-PERP,-0.00002319178296540774904122197917,6088,1646899114000000,1646902687000000
Mango Markets,FTT-PERP,-0.00002473693955637701324377548190,6088,1646899176000000,1646902749000000
Mango Markets,FTT-PERP,-0.00002460685143761786099379428983,6088,1646899238000000,1646902780000000
Mango Markets,FTT-PERP,-0.00002549859524587815415608093228,6088,1646899300000000,1646902872000000
Mango Markets,FTT-PERP,-0.00002564908078380040043712294710,6088,1646899361000000,1646902903000000
Mango Markets,FTT-PERP,-0.00002647693495343280283310690765,6088,1646899392000000,1646902965000000
