exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,LUNA-PERP,-0.00003731706420010287030403658176,46136.89,1646895727000000,1646899300000000
Mango Markets,LUNA-PERP,-0.00003561250849606804234019547245,46136.89,1646895758000000,1646899330000000
Mango Markets,LUNA-PERP,-0.00003536576284654957911508973510,46096.03,1646896404000000,1646899977000000
Mango Markets,LUNA-PERP,-0.00003512905370565426059180331531,46096.03,1646896466000000,1646900038000000
Mango Markets,LUNA-PERP,-0.00003562385765394898328487328155,46096.03,1646896527000000,1646900100000000
Mango Markets,LUNA-PERP,-0.00003414446757175791008730535225,46096.03,1646896589000000,1646900161000000
Mango Markets,LUNA-PERP,-0.00003392936370207999148457074056,46096.03,1646896650000000,1646900223000000
Mango Markets,LUNA-PERP,-0.00003346916793808627630162782587,46096.03,1646896712000000,1646900285000000
Mango Markets,LUNA-PERP,-0.00003343241755531508042682942009,46096.03,1646896773000000,1646900346000000
Mango Markets,LUNA-PERP,-0.00003315808339192459575024164110,46096.03,1646896835000000,1646900408000000
Mango Markets,LUNA-PERP,-0.00003389300447731640500457265775,46096.03,1646896897000000,1646900470000000
Mango Markets,LUNA-PERP,-0.00003292673956805487071182829840,46096.03,1646896958000000,1646900500000000
Mango Markets,LUNA-PERP,-0.00003358429430903937537207757325,46096.54,1646897020000000,1646900593000000
Mango Markets,LUNA-PERP,-0.00003321287191809079599138876666,46096.54,1646897081000000,1646900624000000
Mango Markets,LUNA-PERP,-0.00003310075385317530331659576742,46096.54,1646897143000000,1646900685000000
Mango Markets,LUNA-PERP,-0.00003288173346736667178212938364,46096.54,1646897174000000,1646900747000000
Mango Markets,LUNA-PERP,-0.00003289886555878330695208291050,46096.54,1646897235000000,1646900809000000
Mango Markets,LUNA-PERP,-0.00003305709292489921536898759769,46096.54,1646897297000000,1646900870000000
Mango Markets,LUNA-PERP,-0.00003326256275107888730600342592,46107.35,1646897358000000,1646900932000000
Mango Markets,LUNA-PERP,-0.00003312292602732508999228641218,46107.35,1646897420000000,1646900994000000
Mango Markets,LUNA-PERP,-0.00003240859553417361108652128024,46107.35,1646897482000000,1646901055000000
Mango Markets,LUNA-PERP,-0.00003251220791684768464477959612,46107.35,1646897543000000,1646901117000000
Mango Markets,LUNA-PERP,-0.00003195363943878076519362958329,46112.51,1646897605000000,1646901178000000
Mango Markets,LUNA-PERP,-0.00003199180446216646419862822655,46112.51,1646897666000000,1646901240000000
Mango Markets,LUNA-PERP,-0.00003142376338860079377177900061,46112.51,1646897727000000,1646901301000000
Mango Markets,LUNA-PERP,-0.00002942968839131460883179963475,46112.51,1646897789000000,1646901363000000
Mango Markets,LUNA-PERP,-0.00002884642236092315170948015840,46112.51,1646897851000000,1646901424000000
Mango Markets,LUNA-PERP,-0.00002782287831032203678860059391,46112.51,1646897913000000,1646901486000000
Mango Markets,LUNA-PERP,-0.00002751533181384835011129603713,46112.51,1646897974000000,1646901548000000
Mango Markets,LUNA-PERP,-0.00002725335730269022222857261055,46112.51,1646898036000000,1646901609000000
Mango Markets,LUNA-PERP,-0.00002693083126228103455683949509,46112.51,1646898098000000,1646901640000000
Mango Markets,LUNA-PERP,-0.00002679034861028484201405450864,46112.51,1646898160000000,1646901702000000
Mango Markets,LUNA-PERP,-0.00002635149112145762578506235845,46112.51,1646898221000000,1646901763000000
Mango Markets,LUNA-PERP,-0.00002630991317841983558449066200,46112.51,1646898283000000,1646901825000000
Mango Markets,LUNA-PERP,-0.00002655636537049868540597124179,46112.51,1646898313000000,1646901886000000
Mango Markets,LUNA-PERP,-0.00002677847619874001841120294164,46112.51,1646898375000000,1646901948000000
Mango Markets,LUNA-PERP,-0.00002698687961279582744524951437,46112.51,1646898436000000,1646902009000000
Mango Markets,LUNA-PERP,-0.00002706305914787220041364776226,46112.51,1646898498000000,1646902071000000
Mango Markets,LUNA-PERP,-0.00002738978542588724603427824915,46112.51,1646898559000000,1646902133000000
Mango Markets,LUNA-PERP,-0.00002768263384492798837835126689,46093.97,1646898621000000,1646902194000000
Mango Markets,LUNA-PERP,-0.00002807358480889740019084468070,45885.98,1646898683000000,1646902256000000
Mango Markets,LUNA-PERP,-0.00002851447478543020523424460586,45889.47,1646898744000000,1646902317000000
Mango Markets,LUNA-PERP,-0.00002863308778225889883370821189,45889.47,1646898806000000,1646902379000000
Mango Markets,LUNA-PERP,-0.00002834253649870123236048312845,45894.62,1646898868000000,1646902440000000
Mango Markets,LUNA-PERP,-0.00002848122215040728348298007047,45894.62,1646898929000000,1646902502000000
Mango Markets,LUNA-PERP,-0.00002880518230914280687972526165,45894.62,1646898991000000,1646902564000000
Mango Markets,LUNA-PERP,-0.00002872555104450973015901450418,45894.62,1646899053000000,1646902625000000
Mango Markets,LUNA-PERP,-0.00002877574206741439091274006912,45894.62,1646899114000000,1646902687000000
Mango Markets,LUNA-PERP,-0.00002876577039019153689916679633,45894.62,1646899176000000,1646902749000000
Mango Markets,LUNA-PERP,-0.00002875969374573648758681146337,45894.62,1646899238000000,1646902780000000
Mango Markets,LUNA-PERP,-0.00002935605829567816957237595731,45894.62,1646899300000000,1646902872000000
Mango Markets,LUNA-PERP,-0.00002885842184467387172466334947,45894.62,1646899361000000,1646902903000000
Mango Markets,LUNA-PERP,-0.00002879977429128320824923730970,45894.62,1646899392000000,1646902965000000
Mango Markets,LUNA-PERP,-0.00002936083308058861754950061243,45894.62,1646899453000000,1646903027000000
Mango Markets,LUNA-PERP,-0.00002884356649255864702211283929,45894.62,1646899515000000,1646903088000000
Mango Markets,LUNA-PERP,-0.00002909040123527119990873349167,45894.62,1646899576000000,1646903150000000
Mango Markets,LUNA-PERP,-0.00002888032964671731361584396317,45894.62,1646899638000000,1646903212000000
Mango Markets,LUNA-PERP,-0.00002874754150545323805119491787,45894.62,1646899700000000,1646903273000000
Mango Markets,LUNA-PERP,-0.00002866073728646092118848411063,45894.62,1646899761000000,1646903335000000
Mango Markets,LUNA-PERP,-0.00002815720162615080779267166266,45894.62,1646899823000000,1646903396000000
Mango Markets,LUNA-PERP,-0.00002796070251224572975130100870,45894.62,1646899884000000,1646903458000000
Mango Markets,LUNA-PERP,-0.00002777929504388679837308353964,45894.62,1646899946000000,1646903520000000
Mango Markets,LUNA-PERP,-0.00002775416955117477860028179625,45894.62,1646900007000000,1646903581000000
Mango Markets,LUNA-PERP,-0.00002750302103107122886950352456,45894.62,1646900069000000,1646903643000000
Mango Markets,LUNA-PERP,-0.00002725042033742136455908120755,45894.62,1646900130000000,1646903704000000
Mango Markets,LUNA-PERP,-0.00002706959777555198770554310129,45894.62,1646900192000000,1646903766000000
Mango Markets,LUNA-PERP,-0.00002683748912783239428285542634,45894.62,1646900254000000,1646903828000000
Mango Markets,LUNA-PERP,-0.00002677594893891703004307779694,45894.62,1646900315000000,1646903889000000
Mango Markets,LUNA-PERP,-0.00002647883543900033086062536934,45894.62,1646900377000000,1646903920000000
Mango Markets,LUNA-PERP,-0.00002641782063243520453215250463,45894.62,1646900439000000,1646904012000000
Mango Markets,LUNA-PERP,-0.00002611476314274419153589211950,45894.62,1646900500000000,1646904043000000
Mango Markets,LUNA-PERP,-0.00002600493128607051595372275077,45955.32,1646900562000000,1646904104000000
Mango Markets,LUNA-PERP,-0.00002563937011562470305120915845,45957.75,1646900593000000,1646904166000000
Mango Markets,LUNA-PERP,-0.00002574001001481727099328686906,45957.75,1646900655000000,1646904228000000
Mango Markets,LUNA-PERP,-0.00002606154542873957423333044027,45957.75,1646900716000000,1646904289000000
Mango Markets,LUNA-PERP,-0.00002724997522422334687114275647,45956.64,1646900778000000,1646904351000000
Mango Markets,LUNA-PERP,-0.00002771113836084227840250984379,45956.64,1646900840000000,1646904412000000
Mango Markets,LUNA-PERP,-0.00002718544273933358735723744105,45955.59,1646900901000000,1646904474000000
Mango Markets,LUNA-PERP,-0.00002756398493108533201789591263,45955.59,1646900963000000,1646904536000000
Mango Markets,LUNA-PERP,-0.00002807097226131814990748615729,45949.42,1646901024000000,1646904597000000
Mango Markets,LUNA-PERP,-0.00002805659067548668900815148920,45970.48,1646901086000000,1646904659000000
Mango Markets,LUNA-PERP,-0.00002845934460279325124175644607,45965.21,1646901147000000,1646904720000000
Mango Markets,LUNA-PERP,-0.00002810205888630533266367266931,45957.82,1646901209000000,1646904782000000
Mango Markets,LUNA-PERP,-0.00002808966786018859804862222173,45949.39,1646901270000000,1646904843000000
Mango Markets,LUNA-PERP,-0.00002799775404331465415867831526,45949.39,1646901332000000,1646904905000000
Mango Markets,LUNA-PERP,-0.00002796781603934529630646696470,45949.39,1646901394000000,1646904967000000
Mango Markets,LUNA-PERP,-0.00002778987766508300544547258665,45949.39,1646901455000000,1646905028000000
Mango Markets,LUNA-PERP,-0.00002905092603058084670227450297,45949.39,1646901517000000,1646905090000000
Mango Markets,LUNA-PERP,-0.00002941755994095559860340053603,45949.39,1646901579000000,1646905151000000
Mango Markets,LUNA-PERP,-0.00002932200236142363430626063773,45949.39,1646901640000000,1646905182000000
Mango Markets,LUNA-PERP,-0.00002948885540106722759585832331,45949.39,1646901702000000,1646905243000000
Mango Markets,LUNA-PERP,-0.00003030735543089848719808334086,45949.39,1646901732000000,1646905305000000
Mango Markets,LUNA-PERP,-0.00003170464592557967231071966627,45949.39,1646901794000000,1646905367000000
Mango Markets,LUNA-PERP,-0.00003181166186290740743655817160,45934.39,1646901856000000,1646905428000000
Mango Markets,LUNA-PERP,-0.00003174991279280503181030469260,45935.79,1646901917000000,1646905490000000
Mango Markets,LUNA-PERP,-0.00003153164269945998919827534474,45935.79,1646901979000000,1646905552000000
Mango Markets,LUNA-PERP,-0.00003179382584406322718080988799,45935.79,1646902040000000,1646905613000000
Mango Markets,LUNA-PERP,-0.00003140094410958539429225994212,45930.54,1646902102000000,1646905675000000
Mango Markets,LUNA-PERP,-0.00003146329715501431453775784992,45925.28,1646902163000000,1646905736000000
Mango Markets,LUNA-PERP,-0.00003112058904171748969083630725,45925.28,1646902225000000,1646905798000000
Mango Markets,LUNA-PERP,-0.00003104833917639119282824319260,45925.28,1646902286000000,1646905860000000
Mango Markets,LUNA-PERP,-0.00003124719370186569442282610446,45925.28,1646902348000000,1646905921000000
Mango Markets,LUNA-PERP,-0.00003143830782816207475244014453,45926.33,1646902410000000,1646905983000000
Mango Markets,LUNA-PERP,-0.00003164044772660162189415287234,45926.33,1646902471000000,1646906044000000
Mango Markets,LUNA-PERP,-0.00003180772687159563356701986439,45926.32,1646902533000000,1646906106000000
