exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,MNGO-PERP,-0.0001346000188004335603342202235,2264190,1646895727000000,1646899300000000
Mango Markets,MNGO-PERP,-0.0001346000188004335603342202235,2264190,1646895727000000,1646899300000000
Mango Markets,MNGO-PERP,-0.0001347459503058077225096999533,2264190,1646895758000000,1646899330000000
Mango Markets,MNGO-PERP,-0.0001347459503058077225096999533,2264190,1646895758000000,1646899330000000
Mango Markets,MNGO-PERP,-0.0001110027048493673479213688101,2264190,1646896404000000,1646899977000000
Mango Markets,MNGO-PERP,-0.0001110027048493673479213688101,2264190,1646896404000000,1646899977000000
Mango Markets,MNGO-PERP,-0.0001133527706511882313934156719,2264190,1646896466000000,1646900038000000
Mango Markets,MNGO-PERP,-0.0001133527706511882313934156719,2264190,1646896466000000,1646900038000000
Mango Markets,MNGO-PERP,-0.0001155190006603842564097655212,2264190,1646896527000000,1646900100000000
Mango Markets,MNGO-PERP,-0.0001155190006603842564097655212,2264190,1646896527000000,1646900100000000
Mango Markets,MNGO-PERP,-0.0001133205520070094198892738830,2264190,1646896589000000,1646900161000000
Mango Markets,MNGO-PERP,-0.0001133205520070094198892738830,2264190,1646896589000000,1646900161000000
Mango Markets,MNGO-PERP,-0.0001144254619766966744566251609,2264190,1646896650000000,1646900223000000
Mango Markets,MNGO-PERP,-0.0001144254619766966744566251609,2264190,1646896650000000,1646900223000000
Mango Markets,MNGO-PERP,-0.0001138929067424801965337200535,2264190,1646896712000000,1646900285000000
Mango Markets,MNGO-PERP,-0.0001138929067424801965337200535,2264190,1646896712000000,1646900285000000
Mango Markets,MNGO-PERP,-0.0001106217667634659197337097717,2264190,1646896773000000,1646900346000000
Mango Markets,MNGO-PERP,-0.0001106217667634659197337097717,2264190,1646896773000000,1646900346000000
Mango Markets,MNGO-PERP,-0.0001115163079395982353593151008,2264190,1646896835000000,1646900408000000
Mango Markets,MNGO-PERP,-0.0001115163079395982353593151008,2264190,1646896835000000,1646900408000000
Mango Markets,MNGO-PERP,-0.0001158411871006200544379199272,2264190,1646896897000000,1646900470000000
Mango Markets,MNGO-PERP,-0.0001158411871006200544379199272,2264190,1646896897000000,1646900470000000
Mango Markets,MNGO-PERP,-0.0001156346087357862552077064322,2264190,1646896958000000,1646900500000000
Mango Markets,MNGO-PERP,-0.0001156346087357862552077064322,2264190,1646896958000000,1646900500000000
Mango Markets,MNGO-PERP,-0.0001153275840101075229849089540,2264190,1646897020000000,1646900593000000
Mango Markets,MNGO-PERP,-0.0001153275840101075229849089540,2264190,1646897020000000,1646900593000000
Mango Markets,MNGO-PERP,-0.0001157615880976922659026485062,2264190,1646897081000000,1646900624000000
Mango Markets,MNGO-PERP,-0.0001157615880976922659026485062,2264190,1646897081000000,1646900624000000
Mango Markets,MNGO-PERP,-0.0001188451018553867439786911528,2264190,1646897143000000,1646900685000000
Mango Markets,MNGO-PERP,-0.0001188451018553867439786911528,2264190,1646897143000000,1646900685000000
Mango Markets,MNGO-PERP,-0.0001162865624743616666294413825,2264190,1646897174000000,1646900747000000
Mango Markets,MNGO-PERP,-0.0001162865624743616666294413825,2264190,1646897174000000,1646900747000000
Mango Markets,MNGO-PERP,-0.0001117759523063118451440728416,2264190,1646897235000000,1646900809000000
Mango Markets,MNGO-PERP,-0.0001117759523063118451440728416,2264190,1646897235000000,1646900809000000
Mango Markets,MNGO-PERP,-0.0001073904262858303890107342498,2264190,1646897297000000,1646900870000000
Mango Markets,MNGO-PERP,-0.0001073904262858303890107342498,2264190,1646897297000000,1646900870000000
Mango Markets,MNGO-PERP,-0.0001074183220539100487949786008,2264190,1646897358000000,1646900932000000
Mango Markets,MNGO-PERP,-0.0001074183220539100487949786008,2264190,1646897358000000,1646900932000000
Mango Markets,MNGO-PERP,-0.0001045797557535695006408215595,2264190,1646897420000000,1646900994000000
Mango Markets,MNGO-PERP,-0.0001045797557535695006408215595,2264190,1646897420000000,1646900994000000
Mango Markets,MNGO-PERP,-0.0001039544374096664202531921794,2264190,1646897482000000,1646901055000000
Mango Markets,MNGO-PERP,-0.0001039544374096664202531921794,2264190,1646897482000000,1646901055000000
Mango Markets,MNGO-PERP,-0.0001067172075471451475463295893,2264190,1646897543000000,1646901117000000
Mango Markets,MNGO-PERP,-0.0001067172075471451475463295893,2264190,1646897543000000,1646901117000000
Mango Markets,MNGO-PERP,-0.0001040302335725347899026859432,2264190,1646897605000000,1646901178000000
Mango Markets,MNGO-PERP,-0.0001040302335725347899026859432,2264190,1646897605000000,1646901178000000
Mango Markets,MNGO-PERP,-0.0001017373996450036741482631762,2264190,1646897666000000,1646901240000000
Mango Markets,MNGO-PERP,-0.0001017373996450036741482631762,2264190,1646897666000000,1646901240000000
Mango Markets,MNGO-PERP,-0.0001011916672721811441715806373,2264190,1646897727000000,1646901301000000
Mango Markets,MNGO-PERP,-0.0001011916672721811441715806373,2264190,1646897727000000,1646901301000000
Mango Markets,MNGO-PERP,-0.0001000244063635956778955063403,2264190,1646897789000000,1646901363000000
Mango Markets,MNGO-PERP,-0.0001000244063635956778955063403,2264190,1646897789000000,1646901363000000
Mango Markets,MNGO-PERP,-0.00009859185888489233238451428248,2264190,1646897851000000,1646901424000000
Mango Markets,MNGO-PERP,-0.00009859185888489233238451428248,2264190,1646897851000000,1646901424000000
Mango Markets,MNGO-PERP,-0.00009948814851110058737975839332,2264190,1646897913000000,1646901486000000
Mango Markets,MNGO-PERP,-0.00009948814851110058737975839332,2264190,1646897913000000,1646901486000000
Mango Markets,MNGO-PERP,-0.00009937445426676528896314708618,2264190,1646897974000000,1646901548000000
Mango Markets,MNGO-PERP,-0.00009937445426676528896314708618,2264190,1646897974000000,1646901548000000
Mango Markets,MNGO-PERP,-0.0001006478298033992166908833139,2264190,1646898036000000,1646901609000000
Mango Markets,MNGO-PERP,-0.0001006478298033992166908833139,2264190,1646898036000000,1646901609000000
Mango Markets,MNGO-PERP,-0.00009782821254369390109317305970,2264190,1646898098000000,1646901640000000
Mango Markets,MNGO-PERP,-0.00009782821254369390109317305970,2264190,1646898098000000,1646901640000000
Mango Markets,MNGO-PERP,-0.0001008373202106159823339366494,2264190,1646898160000000,1646901702000000
Mango Markets,MNGO-PERP,-0.0001008373202106159823339366494,2264190,1646898160000000,1646901702000000
Mango Markets,MNGO-PERP,-0.00009884388112651643291636330000,2264190,1646898221000000,1646901763000000
