exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,SOL-PERP,0.00002458564397473502809698984416,136845.94,1646895727000000,1646899300000000
Mango Markets,SOL-PERP,0.00002437952222638135008976365313,136878.98,1646895758000000,1646899330000000
Mango Markets,SOL-PERP,0.00001796694634303819782126678742,135796.11,1646896404000000,1646899977000000
Mango Markets,SOL-PERP,0.00001645890997332437794070980760,135776.57,1646896466000000,1646900038000000
Mango Markets,SOL-PERP,0.00001573547092588496565807762784,135759.45,1646896527000000,1646900100000000
Mango Markets,SOL-PERP,0.00001480466991887647375811848787,135782.34,1646896589000000,1646900161000000
Mango Markets,SOL-PERP,0.00001490854923059622332134001395,135787.8,1646896650000000,1646900223000000
Mango Markets,SOL-PERP,0.00001343720577694613385873217256,135787.76,1646896712000000,1646900285000000
Mango Markets,SOL-PERP,0.00001296087343181186615758078531,135810.76,1646896773000000,1646900346000000
Mango Markets,SOL-PERP,0.00001255880089846840439811619255,135802.42,1646896835000000,1646900408000000
Mango Markets,SOL-PERP,0.00001219731447800722460081752690,135802.42,1646896897000000,1646900470000000
Mango Markets,SOL-PERP,0.00001152705621544483302365802476,135785.42,1646896958000000,1646900500000000
Mango Markets,SOL-PERP,0.00001127244076511236055253619444,135785.42,1646897020000000,1646900593000000
Mango Markets,SOL-PERP,0.00001136397273689857619499411119,135785.42,1646897081000000,1646900624000000
Mango Markets,SOL-PERP,0.00001116951741924409567925909635,135757.79,1646897143000000,1646900685000000
Mango Markets,SOL-PERP,0.00001139999382473580785789370336,135730.01,1646897174000000,1646900747000000
Mango Markets,SOL-PERP,0.00001144949833860417294006050469,135730.01,1646897235000000,1646900809000000
Mango Markets,SOL-PERP,0.00001223206111965112617653366317,135762.61,1646897297000000,1646900870000000
Mango Markets,SOL-PERP,0.00001253750359796913129711617749,135762.61,1646897358000000,1646900932000000
Mango Markets,SOL-PERP,0.00001262627535109793565145944307,135664.18,1646897420000000,1646900994000000
Mango Markets,SOL-PERP,0.00001238755056825207644758166726,135631.49,1646897482000000,1646901055000000
Mango Markets,SOL-PERP,0.00001250263341142442294828653750,135637.25,1646897543000000,1646901117000000
Mango Markets,SOL-PERP,0.00001250752691930174124248049099,135637.25,1646897605000000,1646901178000000
Mango Markets,SOL-PERP,0.00001278143555839745732135904863,135637.25,1646897666000000,1646901240000000
Mango Markets,SOL-PERP,0.00001278549426326327699358663941,135576.4,1646897727000000,1646901301000000
Mango Markets,SOL-PERP,0.00001278933037139024746508206725,135576.4,1646897789000000,1646901363000000
Mango Markets,SOL-PERP,0.00001284505804732957751732307043,135628.11,1646897851000000,1646901424000000
