exchange,symbol,funding_rate,open_interest,from,to
Mango Markets,SRM-PERP,0.00001291780918265679396562859908,144538.8,1646895727000000,1646899300000000
Mango Markets,SRM-PERP,0.00001681367303374936477912053067,144538.8,1646895758000000,1646899330000000
Mango Markets,SRM-PERP,0.00006704901837310440709894021707,144538.8,1646896404000000,1646899977000000
Mango Markets,SRM-PERP,0.00007197707540793679393582539491,144538.8,1646896466000000,1646900038000000
Mango Markets,SRM-PERP,0.00007627271282458558891034650904,144538.8,1646896527000000,1646900100000000
Mango Markets,SRM-PERP,0.00007820864070481141917159233050,144538.8,1646896589000000,1646900161000000
Mango Markets,SRM-PERP,0.00007801273769028912733145919890,144538.8,1646896650000000,1646900223000000
Mango Markets,SRM-PERP,0.00008139282162390028724108275798,144538.8,1646896712000000,1646900285000000
Mango Markets,SRM-PERP,0.00008335747617549443908276423463,144538.8,1646896773000000,1646900346000000
Mango Markets,SRM-PERP,0.00008514841703705357142857142857,144538.8,1646896835000000,1646900408000000
Mango Markets,SRM-PERP,0.00008616352573847469517479888206,144538.8,1646896897000000,1646900470000000
Mango Markets,SRM-PERP,0.00008721132111866857131097441669,144538.8,1646896958000000,1646900500000000
Mango Markets,SRM-PERP,0.00009246497102060866262222729524,144538.8,1646897020000000,1646900593000000
Mango Markets,SRM-PERP,0.00009270925086135751069278782890,144538.8,1646897081000000,1646900624000000
Mango Markets,SRM-PERP,0.00009143172199900749548305623411,144538.8,1646897143000000,1646900685000000
Mango Markets,SRM-PERP,0.00008468415368794116148189069846,144538.8,1646897174000000,1646900747000000
Mango Markets,SRM-PERP,0.00008249506419886103354600213248,144538.8,1646897235000000,1646900809000000
Mango Markets,SRM-PERP,0.00008302358171381266531524553475,144538.8,1646897297000000,1646900870000000
Mango Markets,SRM-PERP,0.00008323882852644338724330289005,144538.8,1646897358000000,1646900932000000
Mango Markets,SRM-PERP,0.00008218008972644449208023916215,144538.8,1646897420000000,1646900994000000
Mango Markets,SRM-PERP,0.00008380429297101407800981560145,144538.8,1646897482000000,1646901055000000
Mango Markets,SRM-PERP,0.00008381217637105295276903188563,144538.8,1646897543000000,1646901117000000
Mango Markets,SRM-PERP,0.00009181644111817429030399732031,144538.8,1646897605000000,1646901178000000
Mango Markets,SRM-PERP,0.00009177624429955796236144316810,144538.8,1646897666000000,1646901240000000
Mango Markets,SRM-PERP,0.00009228359988021638100953568808,144538.8,1646897727000000,1646901301000000
Mango Markets,SRM-PERP,0.00009680011178933660398751124277,144538.8,1646897789000000,1646901363000000
Mango Markets,SRM-PERP,0.00009873448069165927616732741053,144538.8,1646897851000000,1646901424000000
Mango Markets,SRM-PERP,0.00009827179615891947951704244743,144538.8,1646897913000000,1646901486000000
Mango Markets,SRM-PERP,0.00008867022840520987475917675019,144538.8,1646897974000000,1646901548000000
Mango Markets,SRM-PERP,0.00008441935800098739972068257739,144538.8,1646898036000000,1646901609000000
Mango Markets,SRM-PERP,0.00008604429925102053994548699308,144538.8,1646898098000000,1646901640000000
Mango Markets,SRM-PERP,0.00008646464638881437024131817436,144538.8,1646898160000000,1646901702000000
Mango Markets,SRM-PERP,0.00008489402888722105509221987380,144538.8,1646898221000000,1646901763000000
Mango Markets,SRM-PERP,0.00008778888674117126903836390708,144538.8,1646898283000000,1646901825000000
Mango Markets,SRM-PERP,0.00009581289140158626461086031097,144538.8,1646898313000000,1646901886000000
Mango Markets,SRM-PERP,0.0001019759270471701952379837856,144538.8,1646898375000000,1646901948000000
Mango Markets,SRM-PERP,0.00009791611808510808561448500331,144538.8,1646898436000000,1646902009000000
Mango Markets,SRM-PERP,0.00009491530735924684876110668363,144538.8,1646898498000000,1646902071000000
Mango Markets,SRM-PERP,0.00009809639081751502323558574678,144538.8,1646898559000000,1646902133000000
Mango Markets,SRM-PERP,0.00009121868383495711148982655753,144538.8,1646898621000000,1646902194000000
Mango Markets,SRM-PERP,0.00008748868532600106756933909262,144538.8,1646898683000000,1646902256000000
Mango Markets,SRM-PERP,0.00008724286351707537295288446989,144538.8,1646898744000000,1646902317000000
Mango Markets,SRM-PERP,0.00008890406259878518531194827183,144538.8,1646898806000000,1646902379000000
Mango Markets,SRM-PERP,0.00008567418989573808090128583474,144538.8,1646898868000000,1646902440000000
Mango Markets,SRM-PERP,0.00009152056600732852565594183856,144538.8,1646898929000000,1646902502000000
Mango Markets,SRM-PERP,0.00009146626808524348374629726858,144538.8,1646898991000000,1646902564000000
Mango Markets,SRM-PERP,0.00007047621960694658814735671500,144538.8,1646899053000000,1646902625000000
Mango Markets,SRM-PERP,0.00007080662852381940916669351054,144538.8,1646899114000000,1646902687000000
Mango Markets,SRM-PERP,0.00007516210291597263624565984459,144538.8,1646899176000000,1646902749000000
Mango Markets,SRM-PERP,0.00007664977367046293430810615217,144538.8,1646899238000000,1646902780000000
Mango Markets,SRM-PERP,0.0001006264045429085674926371750,144538.8,1646899300000000,1646902872000000
Mango Markets,SRM-PERP,0.0001007698855207643067608384222,143334.6,1646899361000000,1646902903000000
Mango Markets,SRM-PERP,0.00009372935804236357159956363375,143334.6,1646899392000000,1646902965000000
Mango Markets,SRM-PERP,0.00008898453726955283755030710515,143334.6,1646899453000000,1646903027000000
Mango Markets,SRM-PERP,0.00008473021834754995040705833508,143334.6,1646899515000000,1646903088000000
Mango Markets,SRM-PERP,0.00006228406620173962713890218511,144306.6,1646899576000000,1646903150000000
Mango Markets,SRM-PERP,0.00007452911227442272257332067486,144306.6,1646899638000000,1646903212000000
Mango Markets,SRM-PERP,0.00006879875907155818209484430267,144306.6,1646899700000000,1646903273000000
Mango Markets,SRM-PERP,0.00007774460509585048768723164111,144306.6,1646899761000000,1646903335000000
Mango Markets,SRM-PERP,0.00007772188128240710358034931963,144306.6,1646899823000000,1646903396000000
Mango Markets,SRM-PERP,0.00008055695640494232644864054099,144306.6,1646899884000000,1646903458000000
Mango Markets,SRM-PERP,0.00007462822676179968246760534226,144306.6,1646899946000000,1646903520000000
Mango Markets,SRM-PERP,0.00006479214386578536045788416627,144306.6,1646900007000000,1646903581000000
Mango Markets,SRM-PERP,0.00006126473800406139476970954579,144306.6,1646900069000000,1646903643000000
Mango Markets,SRM-PERP,0.00005264122818978315234057384622,144306.6,1646900130000000,1646903704000000
Mango Markets,SRM-PERP,0.00005076226450279969260736933831,144306.6,1646900192000000,1646903766000000
Mango Markets,SRM-PERP,0.00004158812086848376547161554023,144306.6,1646900254000000,1646903828000000
Mango Markets,SRM-PERP,0.00003461405030528329701491389992,144306.6,1646900315000000,1646903889000000
Mango Markets,SRM-PERP,0.00003263327250209342544387924783,144306.6,1646900377000000,1646903920000000
Mango Markets,SRM-PERP,0.00002595134463182030926549755891,144306.6,1646900439000000,1646904012000000
Mango Markets,SRM-PERP,0.00002427062113556253222859888526,144306.6,1646900500000000,1646904043000000
Mango Markets,SRM-PERP,0.00003367352925713223744622456898,146106.6,1646900562000000,1646904104000000
Mango Markets,SRM-PERP,0.00003490777731593783995347843548,146106.6,1646900593000000,1646904166000000
Mango Markets,SRM-PERP,0.00003645383943064636946868800377,146106.6,1646900655000000,1646904228000000
Mango Markets,SRM-PERP,0.00003939799929156828662723167034,146106.6,1646900716000000,1646904289000000
Mango Markets,SRM-PERP,0.00003590465663406927606201601938,146106.6,1646900778000000,1646904351000000
Mango Markets,SRM-PERP,0.00003709239777023939477872057316,146106.6,1646900840000000,1646904412000000
Mango Markets,SRM-PERP,0.00004095032556183889753009781273,146106.6,1646900901000000,1646904474000000
Mango Markets,SRM-PERP,0.00003974747171705178508399527827,146106.6,1646900963000000,1646904536000000
Mango Markets,SRM-PERP,0.00004398476762810158266791210975,146106.6,1646901024000000,1646904597000000
Mango Markets,SRM-PERP,0.00004433893323865846167481269466,146106.6,1646901086000000,1646904659000000
Mango Markets,SRM-PERP,0.00004256378133686528249162140012,146106.6,1646901147000000,1646904720000000
Mango Markets,SRM-PERP,0.00004411593465592265487938078322,146106.6,1646901209000000,1646904782000000
Mango Markets,SRM-PERP,0.00003761832561008958618187715330,146106.6,1646901270000000,1646904843000000
Mango Markets,SRM-PERP,0.00002712839729714293235877312354,146106.6,1646901332000000,1646904905000000
Mango Markets,SRM-PERP,0.00001692554260342277365584072011,146106.6,1646901394000000,1646904967000000
Mango Markets,SRM-PERP,0.00001638812642675276289097436430,146106.6,1646901455000000,1646905028000000
Mango Markets,SRM-PERP,0.00001197941221465556293769464153,146106.6,1646901517000000,1646905090000000
Mango Markets,SRM-PERP,0.00002705550726869015209548065619,146106.6,1646901579000000,1646905151000000
Mango Markets,SRM-PERP,0.00002769083303922734917377649927,146106.6,1646901640000000,1646905182000000
Mango Markets,SRM-PERP,0.00003162010991472044183383658926,146106.6,1646901702000000,1646905243000000
Mango Markets,SRM-PERP,0.00004570563223409487683796576950,146106.6,1646901732000000,1646905305000000
Mango Markets,SRM-PERP,0.00003387610821166130125035748763,146106.6,1646901794000000,1646905367000000
Mango Markets,SRM-PERP,0.00002202899291725700961154503707,146106.6,1646901856000000,1646905428000000
Mango Markets,SRM-PERP,0.00001998173022865677513979675851,146106.6,1646901917000000,1646905490000000
Mango Markets,SRM-PERP,0.00001629676667802457217413955257,146106.6,1646901979000000,1646905552000000
Mango Markets,SRM-PERP,0.00001499351237458941972851082381,146106.6,1646902040000000,1646905613000000
Mango Markets,SRM-PERP,0.00001360922784678976948089604752,146106.6,1646902102000000,1646905675000000
Mango Markets,SRM-PERP,0.00002963841858995959080942765453,146106.6,1646902163000000,1646905736000000
Mango Markets,SRM-PERP,0.00001797788036966940520783833018,146106.6,1646902225000000,1646905798000000
Mango Markets,SRM-PERP,0.00003658748240672852208747063524,146106.6,1646902286000000,1646905860000000
Mango Markets,SRM-PERP,0.00004944985720038197364698384114,146106.6,1646902348000000,1646905921000000
